# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 3129131449
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     2.53%  helper-hash-clo  libbpftime-agent.so    [.] void spdlog::logger::log_<int const&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v11::basic_string_view<char>, int const&)
     2.20%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::per_cpu_hash_map_impl::elem_update(void const*, void const*, unsigned long)
     2.15%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpftime_shm::bpf_map_lookup_elem(int, void const*, bool) const [clone .constprop.0]
     1.82%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::bpf_map_handler::map_update_elem(void const*, void const*, unsigned long, bool) const [clone .constprop.0]
     1.71%  helper-hash-clo  libbpftime-agent.so    [.] boost::unordered::detail::grouped_bucket_iterator<boost::unordered::detail::bucket<boost::unordered::detail::node<std::pair<boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const, boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> > >::grouped_bucket_iterator(boost::unordered::detail::grouped_bucket_iterator<boost::unordered::detail::bucket<boost::unordered::detail::node<std::pair<boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> const, boost::container::vector<unsigned char, boost::interprocess::allocator<unsigned char, boost::interprocess::segment_manager<char, boost::interprocess::rbtree_best_fit<boost::interprocess::mutex_family, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul>, 0ul>, boost::interprocess::iset_index> >, void> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> >, boost::interprocess::offset_ptr<void, long, unsigned long, 0ul> > > const&)
     1.62%  helper-hash-clo  libbpftime-agent.so    [.] bpftime::fix_size_hash_map_impl::elem_lookup(void const*)
     1.60%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::logger::log(spdlog::source_loc, spdlog::level::level_enum, fmt::v11::basic_string_view<char>)
     1.24%  helper-hash-clo  libc.so.6              [.] __aarch64_swp4_acq
     1.05%  helper-hash-clo  libbpftime-agent.so    [.] boost::unordered::detail::prime_fmod_size<void>::position(unsigned long, unsigned long)
     0.72%  helper-hash-clo  libbpftime-agent.so    [.] bpftime_map_update_elem_helper
     0.71%  helper-hash-clo  libc.so.6              [.] __memcpy_generic
     0.66%  helper-hash-clo  libc.so.6              [.] __memmove_generic
     0.50%  helper-hash-clo  libbpftime-agent.so    [.] spdlog::default_logger_raw()
     0.49%  helper-hash-clo  libc.so.6              [.] memcmp
     0.28%  helper-hash-clo  libbpftime-agent.so    [.] memmove@plt
     0.22%  helper-hash-clo  libc.so.6              [.] pthread_spin_lock@@GLIBC_2.34
     0.21%  helper-hash-clo  libbpftime-agent.so    [.] g_bsearch_array_lookup_fuzzy.constprop.9


#
# (Cannot load tips.txt file, please install perf!)
#
